rank,id_boleto,risk_score_heuristico,risk_level,statistical_score,statistical_level,score_consolidado,amount,delay_days,payer_uf,beneficiary_uf,tipo_especie,baixa_missing,z_payer,z_beneficiary,z_combined,motivo_estatistico,motivos_heuristicos
3643,bf72a0f3de8f92fe7f26aff26b52b3ea175481abcb25ee4863f285f43a1b7257,21.67,baixo,6.69,comportamento normal,17.18,133941.60,2,PR,RJ,DM DUPLICATA MERCANTIL,nao,0.2677,,0.2677,valor 0.27 desvios acima da media do pagador,pagamento com atraso de 2 dias; valor nominal elevado; pagador com alta recorrencia de boletos; historico de atraso moderado
3644,c56c61150e47b273bde5edc54cdb6613440baf74536bf69becc459190d7fb445,19.0,baixo,12.95,comportamento normal,17.18,1289.00,-2,SP,SP,DM DUPLICATA MERCANTIL,nao,-0.3451,-0.5179,0.5179,valor 0.35 desvios abaixo da media do pagador; valor 0.52 desvios abaixo da media do beneficiario,pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional; historico de atraso moderado
3645,a38f4f805fab787c688e3d5610a4318de9abd70453410dd91dc6c9c011fcc678,15.0,baixo,22.26,comportamento normal,17.18,2453.02,0,RS,RS,DM DUPLICATA MERCANTIL,nao,-0.8022,-0.8905,0.8905,valor 0.80 desvios abaixo da media do pagador; valor 0.89 desvios abaixo da media do beneficiario,pagador com recorrencia relevante; beneficiario com baixa liquidez; historico de atraso moderado
3646,92f556dd67cbfa6b21246f31dbca64181f535d23981e8dee03774f54e893aea8,4.67,baixo,46.37,desvio leve,17.18,320.38,2,PR,SC,DMI DUPLICATA MERCANTIL INDICACAO,nao,-1.8547,-1.8547,1.8547,valor 1.85 desvios abaixo da media do pagador; valor 1.85 desvios abaixo da media do beneficiario,pagamento com atraso de 2 dias; pagador com recorrencia relevante
3647,d00c693c65f90db88465b9ed5ebd45828e15a5511041e5d53e62fc775a3af531,6.0,baixo,43.23,desvio leve,17.17,465.92,0,,SP,DM DUPLICATA MERCANTIL,nao,1.7292,-0.2076,1.7292,valor 1.73 desvios acima da media do pagador; valor 0.21 desvios abaixo da media do beneficiario,beneficiario com alta concentracao operacional
3648,d29d35d86d5b513d23d93feea9b8cb0593b0f3eecac29dc242fa01b02b0b0b6c,23.0,baixo,3.53,comportamento normal,17.16,620.67,6,MG,MG,DM DUPLICATA MERCANTIL,nao,,-0.1412,0.1412,valor 0.14 desvios abaixo da media do beneficiario,pagamento com atraso de 6 dias; beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia elevado
3649,4aab3a5171fc4ff8d312f367f1c27879047cad1f33c9a071710c255af92e1bcb,22.0,baixo,5.86,comportamento normal,17.16,97719.90,0,SP,SP,DMI DUPLICATA MERCANTIL INDICACAO,nao,-0.2344,-0.1971,0.2344,valor 0.23 desvios abaixo da media do pagador; valor 0.20 desvios abaixo da media do beneficiario,valor nominal elevado; pagador com alta recorrencia de boletos; beneficiario com alta concentracao operacional
3650,3bab3e6fe352c3ebba2e656e11d452b5bd5f5177ad32d59ed7d0f656cf49014a,20.67,baixo,8.96,comportamento normal,17.16,387.54,2,SP,MG,DM DUPLICATA MERCANTIL,nao,0.3583,-0.3366,0.3583,valor 0.36 desvios acima da media do pagador; valor 0.34 desvios abaixo da media do beneficiario,pagamento com atraso de 2 dias; pagador com recorrencia relevante; beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia moderado
3651,de6f0ffee127846838f68975d5e9cc0994b46ec90838f7518e1ba82a396dcd48,16.67,baixo,18.32,comportamento normal,17.16,759.00,2,CE,RN,DM DUPLICATA MERCANTIL,nao,,-0.7327,0.7327,valor 0.73 desvios abaixo da media do beneficiario,pagamento com atraso de 2 dias; beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia moderado
3652,dbebc81022bb6ba3620f372aa9784568a426db202c4cf3d2b4cff905dda5ac9d,16.0,baixo,19.88,comportamento normal,17.16,2838.77,-2,PR,RJ,DM DUPLICATA MERCANTIL,nao,,0.795,0.795,valor 0.80 desvios acima da media do beneficiario,beneficiario com alta concentracao operacional; historico de atraso moderado; indicador de inadimplencia moderado
